Date,Open,High,Low,Close,Volume,Pre_Market_Price,Screenshot_Source,Verified_Yahoo,Notes
2024-10-18,250.0,251.37,249.9,251.27,7833600.0,,user_csv,pending,
2024-10-21,252.74,253.14,250.73,251.22,9258600.0,,user_csv,pending,
2024-10-22,253.06,253.94,252.52,253.93,5756300.0,,user_csv,pending,
2024-10-23,253.08,253.18,250.2,250.87,8081000.0,,user_csv,pending,
2024-10-24,253.27,253.32,251.4,252.8,5962200.0,,user_csv,pending,
2024-10-25,252.0,253.55,251.77,253.32,4424500.0,,user_csv,pending,
2024-10-28,253.01,253.63,252.95,253.33,4029100.0,,user_csv,pending,
2024-10-29,254.49,256.29,254.23,256.09,8875500.0,,user_csv,pending,
2024-10-30,256.76,257.71,255.91,257.5,6386200.0,,user_csv,pending,
2024-10-31,255.52,255.6,252.2,253.51,9930800.0,,user_csv,pending,
2024-11-01,254.33,254.86,252.44,252.47,6473000.0,,user_csv,pending,
2024-11-04,253.32,253.58,252.27,252.83,4581400.0,,user_csv,pending,
2024-11-05,253.78,253.99,252.41,253.4,6029900.0,,user_csv,pending,
2024-11-06,245.64,247.35,244.95,245.7,14600200.0,,user_csv,pending,
2024-11-07,248.29,250.24,248.12,249.65,8821400.0,,user_csv,pending,
2024-11-08,249.07,249.35,247.78,247.96,6267900.0,,user_csv,pending,
2024-11-11,242.73,242.73,241.06,242.14,11653800.0,,user_csv,pending,
2024-11-12,241.29,241.66,239.39,240.05,10145500.0,,user_csv,pending,
2024-11-13,241.31,241.47,237.59,237.63,8431700.0,,user_csv,pending,
2024-11-14,236.57,237.99,236.13,237.01,8262400.0,,user_csv,pending,
2024-11-15,237.57,237.88,236.33,236.59,7299500.0,,user_csv,pending,
2024-11-18,240.46,241.5,240.45,241.09,6323400.0,,user_csv,pending,
2024-11-19,242.75,243.31,242.03,243.25,6579100.0,,user_csv,pending,
2024-11-20,243.74,245.21,243.51,244.62,6630700.0,,user_csv,pending,
2024-11-21,246.23,246.81,245.69,246.66,7646400.0,,user_csv,pending,
2024-11-22,248.2,250.39,247.86,249.84,7503000.0,,user_csv,pending,
2024-11-25,244.27,244.4,241.48,242.48,10733100.0,,user_csv,pending,
2024-11-26,242.71,243.09,241.58,242.95,4945900.0,,user_csv,pending,
2024-11-27,244.85,245.18,243.2,243.49,6930600.0,,user_csv,pending,
2024-11-29,245.25,245.81,244.73,245.59,2708500.0,,user_csv,pending,
2024-12-02,244.46,244.58,243.14,243.44,4765000.0,,user_csv,pending,
2024-12-03,244.96,245.18,243.3,243.93,3557800.0,,user_csv,pending,
2024-12-04,244.93,245.34,244.37,244.67,4608600.0,,user_csv,pending,
2024-12-05,244.16,244.38,242.15,242.86,4806200.0,,user_csv,pending,
2024-12-06,242.79,243.86,242.44,242.95,3540700.0,,user_csv,pending,
2024-12-09,246.28,247.11,245.26,245.36,4711500.0,,user_csv,pending,
2024-12-10,247.86,248.86,247.83,248.59,4642000.0,,user_csv,pending,
2024-12-11,249.35,251.26,248.97,250.96,11033800.0,,user_csv,pending,
2024-12-12,247.81,248.24,246.87,247.28,10149600.0,,user_csv,pending,
2024-12-13,245.67,245.94,244.27,244.29,6602600.0,,user_csv,pending,
2024-12-16,245.41,245.54,244.29,244.88,3310000.0,,user_csv,pending,
2024-12-17,243.8,244.55,243.23,243.94,4421300.0,,user_csv,pending,
2024-12-18,243.57,243.71,238.82,239.26,8015800.0,,user_csv,pending,
2024-12-19,239.67,240.05,238.73,239.6,8111400.0,,user_csv,pending,
2024-12-20,241.41,242.96,241.17,242.1,9527800.0,,user_csv,pending,
2024-12-23,241.6,241.67,240.65,240.96,5835500.0,,user_csv,pending,
2024-12-24,241.49,241.66,240.82,241.44,2421000.0,,user_csv,pending,
2024-12-26,242.39,243.56,242.2,243.07,4645100.0,,user_csv,pending,
2024-12-27,241.2,241.95,241.05,241.4,4728100.0,,user_csv,pending,
2024-12-30,241.08,241.08,239.58,240.63,3522500.0,,user_csv,pending,
2024-12-31,241.05,242.52,241.05,242.13,2522100.0,,user_csv,pending,
2025-01-02,244.22,245.53,244.08,245.42,6241900.0,,user_csv,pending,
2025-01-03,244.56,244.82,243.36,243.49,4872100.0,,user_csv,pending,
2025-01-06,242.33,243.79,242.05,243.19,3758900.0,,user_csv,pending,
2025-01-07,245.52,245.77,243.81,244.56,5090300.0,,user_csv,pending,
2025-01-08,245.72,246.45,244.51,245.86,6303300.0,,user_csv,pending,
2025-01-10,248.01,249.04,247.55,248.21,12380100.0,,user_csv,pending,
2025-01-13,246.34,246.79,245.15,245.74,8448600.0,,user_csv,pending,
2025-01-14,245.62,247.04,245.52,247.03,4914800.0,,user_csv,pending,
2025-01-15,248.21,248.9,247.01,248.88,6345000.0,,user_csv,pending,
2025-01-16,250.56,251.39,250.27,250.6,9236000.0,,user_csv,pending,
2025-01-17,249.7,250.81,249.15,249.27,8312900.0,,user_csv,pending,
2025-01-21,251.95,253.36,251.83,253.13,7668100.0,,user_csv,pending,
2025-01-22,254.29,254.68,253.78,254.43,5213800.0,,user_csv,pending,
2025-01-23,253.19,254.54,252.82,254.07,6511500.0,,user_csv,pending,
2025-01-24,255.96,257.07,255.61,255.65,7341300.0,,user_csv,pending,
2025-01-27,253.86,254.26,251.92,252.99,5799800.0,,user_csv,pending,
