Date,Open,High,Low,Close,Volume,Screenshot_Source,Verified_Yahoo,Notes
2024-10-18,494.06,495.57,493.3,494.47,25335000,user_csv,pending,
2024-10-21,493.25,496.23,491.31,495.42,30336500,user_csv,pending,
2024-10-22,492.73,497.45,491.97,495.96,26685800,user_csv,pending,
2024-10-23,493.59,494.25,485.05,488.36,39346600,user_csv,pending,
2024-10-24,492.11,493,489.44,492.32,22024900,user_csv,pending,
2024-10-25,495.14,500.28,494.43,495.32,38762100,user_csv,pending,
2024-10-28,498.46,498.52,495.1,495.4,20477800,user_csv,pending,
2024-10-29,495.72,501.35,493.85,500.16,28014100,user_csv,pending,
2024-10-30,499.39,500.35,495.89,496.38,29756000,user_csv,pending,
2024-10-31,492.38,492.43,483.75,483.85,41245200,user_csv,pending,
2024-11-01,485.5,490.75,485.2,487.43,33655800,user_csv,pending,
2024-11-04,486.82,489.38,484.25,486.01,23291600,user_csv,pending,
2024-11-05,487.61,492.88,487.52,492.21,24353600,user_csv,pending,
2024-11-06,500.56,506.41,499.6,505.58,43082200,user_csv,pending,
2024-11-07,508.4,514.33,508.34,513.54,32853100,user_csv,pending,
2024-11-08,513.04,514.92,512.41,514.14,22924500,user_csv,pending,
2024-11-11,515.37,515.58,510.92,513.84,24167500,user_csv,pending,
2024-11-12,513.77,514.66,509.83,512.91,25835300,user_csv,pending,
2024-11-13,512.4,514.98,509.95,512.25,24567400,user_csv,pending,
2024-11-14,511.91,512.79,507.77,508.69,28679500,user_csv,pending,
2024-11-15,502.94,503.33,494.49,496.57,51461100,user_csv,pending,
2024-11-18,498.13,502.14,496.73,500.02,27080800,user_csv,pending,
2024-11-19,497.42,503.95,497.08,503.46,24523000,user_csv,pending,
2024-11-20,503.16,503.48,496.56,503.17,29565500,user_csv,pending,
2024-11-21,506.24,506.96,497.56,504.98,34526700,user_csv,pending,
2024-11-22,504.42,506.53,502.78,505.79,23826600,user_csv,pending,
2024-11-25,509.9,511.45,504.26,506.59,26375200,user_csv,pending,
2024-11-26,508.08,510.14,507.23,509.31,26557100,user_csv,pending,
2024-11-27,508.17,508.24,501.93,505.3,24957400,user_csv,pending,
2024-11-29,505.93,510.34,505.31,509.74,15334000,user_csv,pending,
