Date,Open,High,Low,Close,Volume,Pre_Market_Price,Screenshot_Source,Verified_Yahoo,Notes
2024-10-18,220.71,222.28,219.23,220.7,49611900.0,,user_csv,pending,
2024-10-21,218.9,220.48,215.73,218.85,47329000.0,,user_csv,pending,
2024-10-22,217.31,218.22,215.26,217.97,43268700.0,,user_csv,pending,
2024-10-23,217.13,218.72,212.11,213.65,80938900.0,,user_csv,pending,
2024-10-24,244.68,262.12,242.65,260.48,204491900.0,,user_csv,pending,
2024-10-25,256.01,269.49,255.32,269.19,161611900.0,,user_csv,pending,
2024-10-28,270.0,273.54,262.24,262.51,107653600.0,,user_csv,pending,
2024-10-29,264.51,264.98,255.51,259.52,80521800.0,,user_csv,pending,
2024-10-30,258.04,263.35,255.82,257.55,53993600.0,,user_csv,pending,
2024-10-31,257.99,259.75,249.25,249.85,66575300.0,,user_csv,pending,
2024-11-01,252.04,254.0,246.63,248.98,57544800.0,,user_csv,pending,
2024-11-04,244.56,248.9,238.88,242.84,68802400.0,,user_csv,pending,
2024-11-05,247.34,255.28,246.21,251.44,69282500.0,,user_csv,pending,
2024-11-06,284.67,289.59,275.62,288.53,165228700.0,,user_csv,pending,
2024-11-07,288.89,299.75,285.52,296.91,117309200.0,,user_csv,pending,
2024-11-08,299.14,328.71,297.66,321.22,204782800.0,,user_csv,pending,
2024-11-11,346.3,358.64,336.0,350.0,210521600.0,,user_csv,pending,
2024-11-12,342.74,345.84,323.31,328.49,155726000.0,,user_csv,pending,
2024-11-13,335.85,344.6,322.5,330.24,125405600.0,,user_csv,pending,
2024-11-14,327.69,329.98,310.37,311.18,120726100.0,,user_csv,pending,
2024-11-15,310.57,324.68,309.22,320.72,114440300.0,,user_csv,pending,
2024-11-18,340.73,348.55,330.01,338.74,126085600.0,,user_csv,pending,
2024-11-19,335.76,347.38,332.75,346.0,88852500.0,,user_csv,pending,
2024-11-20,345.0,346.6,334.3,342.03,66340700.0,,user_csv,pending,
2024-11-21,343.81,347.99,335.28,339.64,58011700.0,,user_csv,pending,
2024-11-22,341.09,361.53,337.7,352.56,89140700.0,,user_csv,pending,
2024-11-25,360.14,361.93,338.2,338.59,95890900.0,,user_csv,pending,
2024-11-26,341.0,346.96,335.66,338.23,62295900.0,,user_csv,pending,
2024-11-27,341.8,342.55,326.59,332.89,57896400.0,,user_csv,pending,
2024-11-29,336.08,345.45,334.65,345.16,37167600.0,,user_csv,pending,
2024-12-02,352.38,360.0,351.15,357.09,77986500.0,,user_csv,pending,
2024-12-03,351.8,355.69,348.2,351.42,58267200.0,,user_csv,pending,
2024-12-04,353.0,358.1,348.6,357.93,50810900.0,,user_csv,pending,
2024-12-05,359.87,375.43,359.5,369.49,81403600.0,,user_csv,pending,
